,Unnamed: 0,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Rating,WC_Rating
18,34,Admir Mehmedi ,31, M(CLR),FW,29(3),2618,12,4,2.5,1.0,3.6,7.4,7.13
19,37,Claudio Pizarro ,44, AM(C),FW,6(11),704,10,2,1.4,0.8,1.5,7.39,0.0
20,38,Son Heung-Min ,30, M(CLR),FW,29(2),2387,10,4,2.7,1.1,2.7,7.39,7.22
21,42,Thomas Müller ,33, M(CLR),FW,25(6),2173,13,10,2.3,2.0,1.0,7.36,7.98
22,47,Eric Choupo-Moting ,33, M(CLR),FW,19(13),2046,10,3,2.6,0.8,3.6,7.33,6.53
23,53,Mame Diouf ,34, M(LR),FW,18(1),1474,8,3,3.4,0.8,1.4,7.32,0.0
24,55,Hakan Çalhanoglu ,28, M(CLR),FW,28(4),2451,11,4,2.8,2.2,1.6,7.31,0.0
25,58,Aaron Hunt ,36, M(CLR),FW,31,2675,7,6,1.9,2.2,2.2,7.31,0.0
26,60,Kevin-Prince Boateng ,35, M(CLR),FW,28,2451,6,2,3.1,1.1,2.0,7.3,0.0
27,64,Kevin Volland ,30, AM(CLR),FW,32(1),2880,11,4,2.8,1.2,2.5,7.29,0.0
28,69,Juan Arango ,42, AM(L),,31,2608,8,5,2.6,0.7,1.3,7.25,0.0
29,73,Shinji Okazaki ,36, AM(CLR),FW,31(2),2719,15,1,2.2,0.8,1.4,7.23,6.54
30,79,Lars Stindl ,34, M(CLR),FW,31,2657,3,2,1.7,1.5,2.2,7.22,0.0
31,84,Alexander Meier ,39, M(C),FW,18(4),1654,8,2,2.5,1.0,0.8,7.2,0.0
32,94,Ivan Perisic ,33, M(CLR),FW,24(9),2214,10,4,2.1,0.8,1.3,7.17,7.62
33,96,Daniel Didavi ,32, AM(CR),FW,6(1),450,1,1,1.7,1.7,1.6,7.17,0.0
34,98,Ivica Olic ,43, AM(LR),FW,28(4),2409,14,5,2.3,0.8,1.3,7.16,6.81
35,99,Joselu ,32, FW,,18(6),1672,9,2,2.8,0.5,1.0,7.16,0.0
36,118,Vladimír Darida ,32, M(CLR),FW,21(2),1886,3,6,1.6,1.3,2.0,7.11,0.0
37,119,Tobias Werner ,37, AM(L),,25(6),2111,9,7,2.0,1.9,0.6,7.1,0.0
38,121,Nicolai Müller ,35, M(CLR),FW,22(4),2008,9,3,1.4,1.2,2.0,7.1,0.0
39,123,Max Meyer ,27, M(CLR),FW,21(9),1837,6,3,1.1,1.2,3.0,7.09,0.0
40,126,Vedad Ibisevic ,38, FW,,25(2),2163,10,3,2.1,0.8,1.6,7.09,6.56
41,130,Josip Drmic ,30, AM(LR),FW,30(3),2666,17,3,2.0,1.0,2.2,7.08,6.91
42,131,Chinedu Obasi ,36, M(R),FW,7(8),591,3,1,0.7,0.4,2.4,7.08,0.0
43,135,Sami Allagui ,36, AM(CLR),FW,23(6),1991,9,2,1.4,0.8,2.5,7.07,0.0
44,138,Daniel Ginczek ,31, AM(R),FW,12(5),1087,3,1,2.3,0.9,1.9,7.06,0.0
45,139,Pierre-Emerick Aubameyang ,33, M(CLR),FW,21(11),1974,13,4,2.0,0.8,0.6,7.05,0.0
46,143,Patrick Herrmann ,31, M(LR),FW,34,2706,6,7,1.5,1.3,1.8,7.04,0.0
47,144,Hiroshi Kiyotake ,32, AM(CLR),,32(1),2616,3,8,1.5,1.9,2.8,7.04,0.0
48,159,Alexandru Maxim ,32, AM(CLR),FW,18(11),1699,7,9,1.0,1.7,1.5,7.01,0.0
49,162,Martin Harnik ,35, M(LR),FW,23(7),2048,10,1,1.6,0.8,1.2,7.01,0.0
50,174,Halil Altintop ,39, AM(C),FW,34,2714,10,2,1.8,1.1,1.6,6.97,0.0
51,180,Karim Bellarabi  ,32, M(CLR),FW,20(6),1780,3,4,2.1,1.1,3.3,6.96,0.0
52,182,Ibrahima Traoré ,34, AM(LR),,20(11),1883,2,6,1.3,1.1,2.7,6.96,0.0
53,186,Anthony Modeste ,34, FW,,20(9),1644,12,2,2.3,0.4,0.6,6.95,0.0
54,188,Jan Hochscheidt  ,35, M(CLR),FW,19(1),1563,4,0,1.7,1.3,1.7,6.95,0.0
55,189,Havard Nielsen  ,29, AM(CL),FW,15(1),1308,2,0,1.3,0.6,2.3,6.95,0.0
56,190,Stefan Aigner ,35, AM(CLR),FW,24(4),2168,4,6,1.6,1.3,1.2,6.95,0.0
57,194,Maximilian Beister ,32, AM(LR),FW,14(2),1225,5,3,2.8,0.8,1.1,6.94,0.0
58,199,Leonardo Bittencourt ,28, M(CLR),FW,20(11),1840,4,5,1.8,1.1,2.4,6.93,0.0
59,201,Franco Di Santo ,33, AM(CLR),FW,21(2),1668,4,4,1.5,0.7,1.6,6.93,0.0
60,212,Felix Klaus ,30, AM(CLR),,14(7),1396,5,1,1.7,0.6,1.1,6.89,0.0
61,221,Nils Petersen ,33, FW,,19(9),1637,7,2,1.9,0.5,1.3,6.87,0.0
62,236,Alexander Esswein ,32, AM(CLR),FW,5(8),623,0,1,1.8,0.9,2.1,6.83,0.0
63,251,Raúl Bobadilla ,35, AM(R),FW,9(8),841,3,0,1.6,1.2,2.1,6.8,0.0
64,253,Jacques Zoua ,31, AM(LR),FW,18(9),1678,2,2,1.6,0.5,1.3,6.8,0.0
65,256,Ronny ,36, AM(C),,10(17),1192,4,4,2.1,1.1,1.8,6.78,0.0
66,260,Eljero Elia ,35, AM(LR),FW,23(10),2035,4,3,1.0,0.6,2.3,6.77,0.0
67,264,Václav Kadlec ,30, AM(R),FW,14(7),1355,5,3,1.7,0.5,1.2,6.76,0.0
68,265,Yunus Malli ,30, M(CLR),FW,11(10),1046,5,3,1.6,0.8,1.2,6.76,0.0
69,0,Luis Suárez ,35, AM(CLR),FW,33,2965,31,12,5.5,2.7,2.8,8.43,7.23
70,1,James Wilson ,26, AM(CR),FW,1,64,2,0,4.0,0.0,0.0,8.04,0.0
71,8,Sergio Agüero ,34, AM(CL),FW,20(3),1539,17,6,3.7,1.6,1.9,7.71,0.0
72,9,Eden Hazard ,31, M(CLR),FW,32(3),2898,14,7,2.1,2.7,3.8,7.68,7.44
73,11,Wayne Rooney ,37, M(CLR),FW,27(2),2448,17,10,3.5,1.9,1.4,7.62,7.07
74,12,David Silva ,36, M(CLR),FW,26(1),2174,7,9,2.0,3.2,1.1,7.57,6.69
75,17,Daniel Sturridge ,33, M(R),FW,26(3),2277,21,7,3.4,1.0,1.3,7.45,6.85
76,21,Raheem Sterling ,27, M(CLR),FW,24(9),2221,9,5,1.4,1.6,2.8,7.4,6.54
77,26,Olivier Giroud ,36, FW,,36,3083,16,8,3.1,1.0,0.7,7.36,6.7
78,34,Juan Mata ,34, AM(CLR),,14(1),1231,6,4,1.9,2.3,0.9,7.31,7.12
79,35,Romelu Lukaku ,29, AM(R),FW,29(2),2564,15,6,3.2,1.1,1.3,7.31,6.55
80,44,Christian Benteke ,31, FW,,24(2),2128,10,2,2.6,1.8,0.7,7.25,0.0
81,46,Willian ,34, AM(CLR),,18(7),1680,4,2,1.8,2.6,1.5,7.25,6.33
82,52,Andy Carroll ,33, FW,,12(3),1093,2,4,3.4,1.0,0.3,7.23,0.0
83,54,Christian Eriksen ,30, M(CLR),FW,23(2),1984,7,8,1.9,2.7,1.0,7.22,0.0
84,58,Peter Crouch ,41, FW,,30(4),2643,7,6,1.8,1.0,0.3,7.21,0.0
85,67,Emmanuel Adebayor ,38, FW,,20(1),1809,11,4,2.1,1.6,1.0,7.16,0.0
86,73,Loïc Rémy ,35, M(LR),FW,24(2),2103,14,3,3.5,1.2,1.1,7.15,6.32
87,75,Edin Dzeko ,36, FW,,23(8),1993,16,1,3.3,0.6,0.4,7.15,6.99
88,86,Theo Walcott ,33, M(CLR),FW,9(4),859,5,4,2.5,1.8,0.7,7.11,0.0
89,87,Kevin Mirallas ,35, M(CLR),FW,28(4),2335,9,7,2.5,1.9,1.4,7.11,6.63
90,89,Peter Odemwingie ,41, AM(LR),FW,15,1295,6,1,1.9,0.5,1.7,7.11,0.0
91,90,Wilfried Bony ,33, FW,,27(7),2473,16,4,3.2,0.7,0.7,7.1,6.84
92,95,Jay Rodríguez ,33, AM(CLR),FW,30(3),2570,15,3,3.1,0.6,1.2,7.09,0.0
93,99,Samuel Eto'o ,41, M(CL),FW,16(5),1306,9,2,2.8,1.0,0.9,7.08,6.28
94,109,Robin van Persie ,39, AM(C),FW,18(3),1584,12,3,3.0,0.8,0.7,7.06,7.29
95,121,Marko Arnautovic ,33, AM(CLR),FW,27(3),2257,4,7,2.4,1.6,1.3,7.02,0.0
96,137,Rickie Lambert ,40, FW,,31(6),2820,13,10,2.8,1.5,0.2,6.99,0.0
97,140,Lukas Podolski ,37, AM(CLR),FW,14(6),1173,8,2,2.1,0.4,0.3,6.98,6.29
98,143,Adnan Januzaj ,27, AM(CLR),,15(12),1641,4,3,1.7,1.1,1.9,6.96,6.67
99,149,Yannick Bolasie ,33, AM(LR),FW,23(6),2039,0,4,1.7,0.9,2.6,6.94,0.0
100,154,Marouane Chamakh ,38, AM(C),FW,27(5),2308,5,2,0.5,1.1,0.8,6.94,0.0
101,164,Tom Lawrence ,28, AM(CLR),FW,1,70,0,0,2.0,2.0,2.0,6.92,0.0
102,165,Andros Townsend ,31, AM(LR),FW,12(13),1226,1,0,2.2,1.1,2.7,6.92,0.0
103,174,Fernando Torres ,38, FW,,16(12),1572,5,5,2.2,1.0,1.2,6.9,6.69
104,175,Álvaro Negredo ,37, FW,,21(11),1726,9,3,2.1,1.0,0.3,6.89,0.0
105,179,Juan Mata ,34, AM(CLR),,11(2),834,0,2,0.8,2.3,0.8,6.89,7.12
106,184,André Schürrle ,32, M(CLR),FW,15(15),1327,8,2,1.9,1.0,0.6,6.88,6.99
107,187,Mohamed Salah ,30, AM(CLR),FW,6(4),501,2,1,2.1,0.9,1.6,6.88,0.0
108,188,Serge Gnabry ,27, AM(CLR),FW,5(4),464,1,0,1.3,0.6,1.2,6.88,0.0
109,192,Harry Kane ,29, AM(C),FW,6(4),500,3,0,2.8,0.7,0.5,6.87,0.0
110,196,Shane Long ,35, AM(R),FW,15,1208,4,1,1.8,0.9,0.1,6.86,0.0
111,203,Modibo Maiga ,35, FW,,11(3),1007,1,2,1.8,0.9,0.3,6.85,0.0
112,206,Nathan Redmond ,28, AM(CLR),FW,23(11),2159,1,3,1.9,1.0,1.7,6.84,0.0
113,207,Danny Welbeck ,31, AM(CLR),FW,15(10),1461,9,1,1.8,0.5,0.8,6.84,6.51
114,209,Michu ,36, AM(C),FW,15(2),1289,2,2,2.5,1.5,0.5,6.84,0.0
115,212,Ravel Morrison ,29, M(C),FW,12(4),1155,3,2,1.3,0.7,2.1,6.83,0.0
116,226,Connor Wickham ,29, AM(L),FW,10(5),848,5,1,1.7,0.3,0.7,6.81,0.0
117,231,Fabio Borini ,31, M(CLR),FW,25(7),2145,7,2,2.1,0.8,0.9,6.8,0.0
118,233,Yoan Gouffran ,36, M(CLR),FW,31(4),2626,6,3,1.5,0.8,0.6,6.8,0.0
119,240,Oussama Assaidi ,34, AM(L),FW,12(7),1112,4,0,1.1,1.0,1.4,6.78,0.0
120,245,Bryan Ruiz ,37, M(CLR),FW,8(4),774,1,3,0.9,1.3,1.2,6.77,6.78
121,253,Stevan Jovetic ,33, AM(CL),FW,2(11),362,3,1,1.8,0.5,1.2,6.75,0.0
122,256,Hatem Ben Arfa ,35, M(CR),FW,13(14),1305,3,3,1.7,1.1,2.4,6.74,0.0
123,269,Nikica Jelavic ,37, FW,,16,1319,5,0,3.4,0.3,0.5,6.72,0.0
124,278,Dimitar Berbatov ,41, AM(C),FW,18,1569,4,1,1.9,1.4,0.8,6.71,0.0
125,282,Wayne Routledge ,37, M(CLR),FW,32(3),2707,2,4,0.8,1.3,1.1,6.71,0.0
126,283,Nacer Chadli ,33, M(CLR),FW,15(9),1455,1,3,1.4,1.3,1.0,6.7,6.33
127,292,Shane Long ,35, AM(R),FW,11(4),1039,3,1,1.7,0.7,0.4,6.68,0.0
128,297,Giorgos Karagounis ,45, AM(C),,6(8),657,0,0,0.6,0.9,0.6,6.67,6.9
129,0,Lionel Messi Barcelona,35, AM(CR),FW,29(2),2508,27,11,5.0,2.4,4.6,8.34,0.0
130,1,Cristiano Ronaldo Real Madrid,37, M(L),FW,30,2545,31,9,7.2,1.6,2.2,8.27,0.0
131,3,Gareth Bale Real Madrid,33, M(CLR),FW,24(3),2073,15,12,3.3,1.5,2.1,7.75,0.0
132,6,Alexis Sánchez Barcelona,33, M(CLR),FW,27(7),2386,19,10,1.9,1.4,1.1,7.54,0.0
133,7,Neymar Barcelona,30, AM(CLR),FW,19(7),1742,9,8,2.6,1.6,3.0,7.51,0.0
134,13,Ángel Di María Real Madrid,34, M(CLR),FW,27(7),2384,4,17,1.8,2.6,1.4,7.46,0.0
135,15,Karim Benzema Real Madrid,34, FW,,34(1),2779,17,9,2.9,1.8,0.5,7.44,0.0
136,19,Carlos Vela Real Sociedad,33, M(CLR),FW,35(2),3116,15,12,2.2,2.1,2.0,7.42,0.0
137,21,Isco Real Madrid,30, M(CLR),FW,23(9),2001,8,6,1.4,2.2,2.1,7.41,0.0
138,23,Diego Costa Atletico,34, FW,,34(1),2965,27,3,3.1,1.3,1.7,7.4,0.0
139,30,Cesc Fàbregas Barcelona,35, M(CL),FW,28(7),2446,8,12,1.4,1.6,0.7,7.32,0.0
140,31,Aritz Aduriz Athletic Bilbao,41, FW,,26(5),2410,15,7,2.6,1.0,0.7,7.32,0.0
141,42,Iker Muniain Athletic Bilbao,29, AM(CLR),,32(3),2730,7,3,1.5,0.9,2.7,7.23,0.0
142,43,Antoine Griezmann Real Sociedad,31, AM(CLR),FW,31(4),2666,16,3,3.2,1.0,0.6,7.22,0.0
143,47,Jonathan Viera Valencia,33, AM(CLR),FW,1,79,0,0,1.0,0.0,5.0,7.21,0.0
144,65,Nolito Celta Vigo,36, AM(CL),,24(11),2264,12,2,2.3,1.4,1.3,7.13,0.0
145,67,Pedro Barcelona,35, M(CLR),FW,28(9),2367,15,8,1.9,1.0,0.7,7.13,0.0
146,74,Fabián Orellana Celta Vigo,36, AM(CLR),,22(8),1956,5,6,1.3,1.5,1.4,7.1,0.0
147,90,Oriol Riera Osasuna,36, FW,,35(2),3022,13,0,2.1,0.9,0.4,7.05,0.0
148,98,Giovani dos Santos Villarreal,33, AM(CLR),FW,26(4),2205,10,8,1.9,1.4,0.9,7.03,0.0
149,102,Charles Celta Vigo,38, FW,,29(1),2349,12,3,2.2,1.1,0.3,7.02,0.0
150,106,Carlos Bacca Sevilla,36, FW,,27(7),2290,14,5,1.9,1.0,0.9,7.01,0.0
151,111,Nordin Amrabat Malaga,35, M(CLR),FW,15,1314,2,4,2.1,1.7,2.3,7.0,0.0
152,112,Sergio García Espanyol,39, M(CLR),FW,37,3259,11,8,2.0,1.9,1.8,7.0,0.0
153,115,Miku Getafe,37, FW,,3(2),292,2,1,1.2,0.8,0.8,6.99,0.0
154,120,Ikechukwu Uche Villarreal,38, FW,,19(7),1657,13,2,1.6,0.9,0.4,6.98,0.0
155,124,Vitolo Sevilla,33, M(CLR),FW,25(4),2198,4,6,1.1,1.3,1.1,6.97,0.0
156,125,Raúl García Atletico,36, M(CLR),FW,18(16),1710,9,3,1.8,0.5,0.2,6.97,0.0
157,131,Javi Guerra Real Valladolid,40, FW,,37,3161,15,1,2.3,0.6,0.4,6.96,0.0
158,132,Arda Turan Atletico,35, AM(CLR),,22(8),1932,3,4,1.1,1.1,1.3,6.96,0.0
159,137,Ibai Gómez Athletic Bilbao,32, AM(LR),,6(12),685,8,2,2.6,1.3,0.7,6.94,0.0
160,141,Cristhian Stuani Espanyol,36, AM(CLR),FW,28(6),2574,6,2,1.5,0.6,0.6,6.94,0.0
161,149,Javier Aquino Villarreal,32, AM(R),,18(9),1695,1,4,0.7,1.0,1.1,6.93,0.0
162,155,Roque Santa Cruz Malaga,41, FW,,24(7),2140,6,2,1.6,1.0,0.6,6.92,0.0
163,161,Emiliano Armenteros Osasuna,36, AM(CLR),,27(2),2248,4,3,1.5,1.7,0.8,6.91,0.0
164,176,Youssef El Arabi Granada,35, AM(C),FW,34(2),2801,12,2,2.6,0.8,0.9,6.88,0.0
165,182,Jonas Valencia,38, AM(CLR),FW,23(8),2097,10,1,2.8,0.7,0.6,6.86,0.0
166,188,David Villa Atletico,40, AM(L),FW,32(4),2431,13,4,2.1,0.8,0.3,6.85,0.0
167,190,Fede Cartabia Valencia,29, AM(CLR),,16(9),1423,0,1,1.8,1.1,1.6,6.85,0.0
168,191,Joaquín Larrivey Rayo Vallecano,38, FW,,24(11),2415,12,4,1.9,0.7,0.1,6.85,0.0
169,202,Manu Molina Espanyol,30, AM(R),,0(1),31,0,1,0.0,2.0,0.0,6.83,0.0
170,206,David Barral Levante,39, FW,,25(7),2255,7,0,2.0,0.7,0.6,6.82,0.0
171,207,Roberto Torres Osasuna,33, AM(CLR),,25(8),2282,5,3,1.6,1.8,0.5,6.82,0.0
172,213,Suso Almeria,28, AM(CLR),FW,26(7),2265,3,7,1.9,1.0,1.7,6.81,0.0
173,234,Diego Perotti Sevilla,34, M(CLR),FW,3(7),403,1,1,1.1,1.0,1.6,6.77,0.0
174,235,Manu Trigueros Villarreal,31, M(CLR),FW,23(10),2017,1,1,1.0,0.9,0.5,6.76,0.0
175,242,Rubén Castro Real Betis,41, AM(LR),FW,22(3),2019,10,1,3.0,1.0,0.6,6.76,0.0
176,248,Ángel Lafita Getafe,38, M(CLR),FW,22(7),1870,7,1,1.4,0.7,1.0,6.75,0.0
177,249,Iago Falque Rayo Vallecano,32, AM(CLR),FW,26(2),2001,3,2,1.4,1.3,0.7,6.75,0.0
178,258,Kevin Gameiro Sevilla,35, FW,,20(15),1890,14,3,1.5,0.8,0.5,6.73,0.0
179,263,Kike Sola Athletic Bilbao,36, FW,,2(3),226,1,0,1.4,0.0,0.6,6.72,0.0
180,274,Jorge Molina Real Betis,40, FW,,25(7),2352,9,1,1.8,1.1,0.4,6.69,0.0
181,275,Jonathan Viera Rayo Vallecano,33, AM(CLR),FW,18(8),1725,5,7,1.9,1.4,1.2,6.69,0.0
182,276,Gonzalo Castro Real Sociedad,38, AM(LR),FW,12(11),1022,2,3,1.0,1.1,1.2,6.69,0.0
183,281,Dorlan Pabón Valencia,34, AM(CLR),FW,11(2),913,3,0,2.8,0.8,0.8,6.69,0.0
184,282,Carles Gil Elche,29, AM(CR),,29(3),2524,1,3,1.0,1.3,1.6,6.69,0.0
185,284,Víctor Casadesús Levante,37, AM(C),FW,13(1),1051,1,2,1.1,0.8,1.0,6.69,0.0
186,293,Paco Alcácer Valencia,29, AM(R),FW,17(6),1542,6,2,1.9,0.7,0.1,6.67,0.0
187,295,Imanol Agirretxe Real Sociedad,35, FW,,21(10),1960,8,1,2.0,0.4,0.4,6.67,0.0
188,0,Zlatan Ibrahimovic ,41, FW,,32(1),2774,26,11,4.9,2.1,0.8,7.79,0.0
189,7,James Rodríguez ,31, AM(CLR),FW,30(4),2644,9,12,2.7,2.5,1.3,7.44,8.43
190,14,Rémy Cabella ,32, M(CLR),FW,36(1),3206,14,5,2.7,2.2,1.2,7.36,0.0
191,22,André Ayew ,32, M(CLR),FW,24(1),2121,6,3,2.3,1.1,1.2,7.28,7.27
192,34,Lucas Moura ,30, AM(CLR),FW,18(18),1936,5,11,1.7,1.5,2.4,7.22,0.0
193,42,Ola Toivonen ,36, AM(C),FW,14(1),1234,7,1,1.9,1.2,0.3,7.18,0.0
194,44,Dimitar Berbatov ,41, AM(C),FW,9(3),767,6,4,1.8,1.2,0.1,7.17,0.0
195,46,Edinson Cavani ,35, AM(LR),FW,25(5),2299,16,2,3.2,0.8,0.6,7.16,6.62
196,47,Ryad Boudebouz Sochaux,32, M(CLR),FW,2,180,1,0,2.0,1.5,1.0,7.15,0.0
197,50,Alexandre Lacazette ,31, M(CLR),FW,35(1),2910,15,3,2.3,1.1,1.4,7.13,0.0
198,55,Benjamin Corgnet ,35, M(CLR),FW,23(5),1818,7,2,1.9,1.0,1.0,7.13,0.0
199,58,Romain Hamouma ,35, M(CLR),FW,29(5),2495,9,4,1.4,1.4,1.6,7.12,0.0
200,61,Jordan Ayew Sochaux,31, AM(CLR),FW,16(1),1367,5,1,2.0,1.5,2.2,7.11,0.0
201,65,Salomon Kalou ,37, AM(CLR),FW,36(2),3116,16,6,2.6,1.4,2.0,7.1,6.48
202,83,André-Pierre Gignac ,36, FW,,30(5),2723,16,3,3.2,1.0,1.1,7.06,0.0
203,91,Paul-Georges Ntep ,30, AM(LR),FW,7(3),652,5,0,1.1,0.8,2.2,7.05,0.0
204,102,Mevlüt Erdinç ,35, FW,,4,335,1,0,3.0,0.3,1.5,7.01,0.0
205,106,Max-Alain Gradel ,34, M(CLR),FW,10(8),978,5,5,1.7,1.3,1.3,7.0,6.45
206,115,Floyd Ayité ,33, M(CLR),FW,22(10),2020,5,4,1.8,1.7,1.6,6.98,0.0
207,118,Yannick Carrasco ,29, M(CLR),FW,14(4),1167,3,3,1.7,1.2,1.4,6.97,0.0
208,120,Dimitri Payet ,35, M(CLR),FW,30(6),2520,8,5,1.7,1.8,1.0,6.97,0.0
209,131,Henri Saivet ,32, M(CLR),FW,30(3),2721,6,6,1.8,1.2,0.8,6.95,0.0
210,140,Nolan Roux ,34, AM(LR),FW,29(1),2358,9,4,2.6,0.9,0.5,6.94,0.0
211,144,Radamel Falcao ,36, FW,,16(1),1394,9,0,2.9,0.5,0.8,6.93,0.0
212,146,Florian Thauvin ,29, M(CLR),FW,25(6),2096,8,3,2.6,1.0,1.5,6.92,0.0
213,157,Mevlüt Erdinç ,35, FW,,19(8),1670,11,2,2.6,0.8,0.4,6.89,0.0
214,158,Cheick Diabaté ,34, FW,,18(7),1692,12,0,2.6,0.6,0.3,6.89,0.0
215,160,Majeed Waris ,31, AM(LR),FW,16,1388,9,3,2.5,1.3,1.3,6.89,0.0
216,161,Vincent Aboubakar ,30, AM(R),FW,33(2),2928,16,7,2.5,1.1,1.2,6.88,0.0
217,162,Wissam Ben Yedder ,32, AM(C),FW,35(3),3013,16,5,2.3,1.0,0.4,6.88,0.0
218,172,Bafétimbi Gomis ,37, FW,,29(4),2462,14,1,2.6,0.5,0.6,6.86,0.0
219,179,Wahbi Khazri ,31, M(CLR),FW,26(6),2265,6,2,2.3,1.3,0.9,6.86,0.0
220,182,Serge Gakpé ,35, AM(LR),FW,32(4),2772,8,4,2.2,1.1,1.2,6.85,0.0
221,184,Nicolas Benezet ,31, AM(CLR),,18(11),1727,3,2,1.0,1.2,1.0,6.85,0.0
222,186,Yann Jouffre ,38, M(CR),FW,27(4),2348,6,7,1.8,1.6,0.5,6.85,0.0
223,203,Nicolas Maurice-Belay ,37, M(CL),FW,30(4),2551,3,4,0.9,1.4,1.5,6.83,0.0
224,204,Ryad Boudebouz ,32, M(CLR),FW,27(5),2481,3,6,1.5,2.0,1.0,6.83,0.0
225,210,Yohan Mollo ,33, M(CLR),FW,10(7),829,1,3,1.4,1.8,0.8,6.82,0.0
226,212,Éric Bauthéac ,35, AM(LR),,24(3),2135,4,2,1.6,1.1,1.1,6.82,0.0
227,218,Romain Alessandrini ,33, AM(CLR),FW,21(6),1859,6,5,2.1,1.1,0.7,6.8,0.0
228,219,Valère Germain ,32, AM(CLR),FW,14(9),1225,5,2,1.5,1.0,0.2,6.8,0.0
229,220,Claudio Beauvue ,34, AM(CLR),FW,29(7),2296,5,3,1.6,0.8,0.8,6.8,0.0
230,230,Ezequiel Lavezzi ,37, AM(CLR),FW,25(7),1893,9,0,1.4,1.1,0.7,6.78,6.61
231,231,Jérémie Aliadière ,39, FW,,24(3),2064,8,3,2.2,0.9,0.4,6.78,0.0
232,234,Filip Djordjevic ,35, FW,,27,2277,10,4,2.0,0.8,0.3,6.77,0.0
233,235,M'Baye Niang ,27, AM(LR),FW,17(2),1386,4,2,2.5,0.9,1.3,6.77,0.0
234,238,Túlio de Melo ,37, FW,,4(1),289,0,0,2.0,0.2,0.0,6.76,0.0
235,246,Nicolas de Préville ,31, AM(CLR),FW,24(8),2070,5,2,1.8,0.8,1.0,6.74,0.0
236,249,Karim Aït Fana ,33, AM(CL),,1(3),112,1,0,0.3,0.3,1.0,6.73,0.0
237,259,Odaïr Fortes ,35, AM(LR),,28(7),2547,4,4,0.9,1.1,1.6,6.71,0.0
238,265,Guillaume Hoarau ,38, FW,,9(6),925,3,0,2.1,0.5,0.2,6.7,0.0
239,267,Javier Pastore ,33, AM(CLR),,18(11),1580,1,3,1.2,1.0,0.6,6.7,0.0
240,270,Alejandro Bedoya ,35, M(CR),FW,24(7),2205,5,0,1.4,0.8,0.2,6.7,6.65
241,271,Jussiê ,39, M(C),FW,15(7),1341,9,1,1.1,0.8,0.4,6.7,0.0
242,272,Mustapha Yatabaré ,36, AM(R),FW,30(1),2672,11,3,2.8,1.0,0.4,6.7,0.0
243,274,Christian Brüls ,34, AM(CLR),,26(8),2180,1,5,1.1,1.3,1.3,6.68,0.0
244,279,Jean-Christophe Bahebeck ,29, AM(LR),FW,11(8),1124,2,1,1.9,0.8,0.7,6.67,0.0
245,280,Óscar Trejo ,34, M(CLR),FW,23(9),2073,2,1,1.1,1.0,1.4,6.67,0.0
246,281,Martin Braithwaite ,31, AM(CLR),FW,30(2),2609,7,6,1.9,0.8,0.8,6.67,0.0
247,282,Eduardo ,42, FW,,7(2),693,3,0,1.7,1.1,0.2,6.67,0.0
248,283,Anthony Martial ,26, AM(LR),FW,8(3),571,2,1,1.2,1.1,1.1,6.67,0.0
